Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
AYR,Aircastle Ltd.,22.75,0.052,1705,8.4,0.436,0.9,14.2
AZZ,"AZZ, Inc.",42.97,0.016,1124,19.8,0.313,1,15.9
B,"Barnes Group, Inc.",54.44,0.012,2756,18.7,0.22,1.2,14.5
BANC,"Banc of California, Inc.",14.34,0.031,730,29.8,0.935,0.9,6.7
BAND,"Bandwidth, Inc.",70.01,0,1638,226.6,0,1.4,
BANF,BancFirst Corp. (Oklahoma),56.8,0.021,1854,14.1,0.298,0.9,-1.7
BANR,Banner Corp.,56.17,0.028,1944,12.9,0.362,0.9,3.8
BATRA,Liberty Media Corp. Liberty Braves,28.92,0,17337,-105.1,0,0.6,67.6
BATRK,Liberty Media Corp. Liberty Braves,28.76,0,17242,-104.5,0,0.6,67.4
BBBY,"Bed Bath & Beyond, Inc.",9.82,0.066,1255,-2.3,-0.152,1,5.3
BBCP,"Concrete Pumping Holdings, Inc.",4.09,0,238,,,0.5,20.9
BBSI,"Barrett Business Services, Inc.",88.82,0.011,663,13.8,0.155,1.1,9.3
BBX,BBX Capital Corp.,4.96,0.009,483,63.9,0.58,1.1,10.7
BCBP,"BCB Bancorp, Inc.",13.03,0.043,214,10.8,0.465,0.6,2.5
BCC,Boise Cascade Co.,31.48,0.011,1227,-63.4,-0.684,0.9,
BCEI,"Bonanza Creek Energy, Inc.",24.14,0,498,2.7,0,1.4,2.8
BCML,BayCom Corp.,23.03,0,278,19,0,0.6,5.3
BCO,The Brink's Co.,83.15,0.007,4157,53.1,0.383,1.1,22.6
BCOR,"Blucora, Inc.",21.55,0,1053,16.5,0,1.3,17.9
BCOV,"Brightcove, Inc.",10.88,0,416,-22,0,0.7,
BCPC,Balchem Corp.,98.1,0,3174,40.4,0,1.1,29.7
BCRX,"BioCryst Pharmaceuticals, Inc.",2.86,0,316,-2.5,0,1.4,
BDC,"Belden, Inc.",50.88,0.004,2007,12.6,0.049,1.5,13.2
BDGE,"Bridge Bancorp, Inc.",29.68,0.031,589,13.4,0.417,0.9,0.5
BDSI,"BioDelivery Sciences International, Inc.",4.6,0,412,-8,0,0.6,
BE,Bloom Energy Corp.,3.32,0,386,-1,0,0.8,
BEAT,"BioTelemetry, Inc.",42.06,0,1425,30.4,0,1.6,24.3
BECN,"Beacon Roofing Supply, Inc.",34.51,0,2364,-107.9,0,0.7,32.5
BELFB,"Bel Fuse, Inc.",14.95,0.019,184,9.1,0.171,1.6,7.3
BFC,Bank First Corp.,68.37,0.011,486,18.4,0.205,1,3.5
BFIN,BankFinancial Corp.,12.31,0.032,189,13.2,0.429,0.5,-0.5
BFS,"Saul Centers, Inc.",53.92,0.039,1240,30.5,1.193,0.8,22.6
BFST,"Business First Bancshares, Inc.",24.99,0.014,334,16,0.218,0.7,0.3
BGG,Briggs & Stratton Corp.,6.16,0.091,259,-4.7,-0.427,1.2,
BGS,"B&G Foods, Inc.",19.56,0.097,1279,7.2,0.698,0.1,18.1
BGSF,"BG Staffing, Inc.",19.7,0.061,202,12.4,0.754,1.2,9.3
BH,"Biglari Holdings, Inc.",112.01,0,255,2.3,0,0.9,4.6
BHB,Bar Harbor Bankshares,24.68,0.033,384,12.8,0.424,0.8,3.8
BHE,"Benchmark Electronics, Inc.",28.57,0.021,1075,20.5,0.43,1,11.9
BHLB,"Berkshire Hills Bancorp, Inc.",30.91,0.029,1574,15.3,0.445,0.9,3.4
BHR,"Braemar Hotels & Resorts, Inc.",9.64,0.066,317,-10.8,-0.714,0.8,38.3
BHVN,Biohaven Pharmaceutical Holding Co. Ltd.,46.89,0,2446,-5.2,0,1.7,
BID,Sotheby's,56.94,0,2654,26.1,0,1,18.7
BIG,"Big Lots, Inc.",22.9,0.052,893,7.4,0.389,1,6.4
BIOS,"Option Care Health, Inc.",3.75,0,2637,-7.8,0,1.2,111.5
BJ,"BJ's Wholesale Club Holdings, Inc.",26.36,0,3605,17.1,0,1.2,14.8
BJRI,"BJ's Restaurants, Inc.",35.77,0.013,732,16.2,0.213,0.9,14.4
BKD,"Brookdale Senior Living, Inc.",7.82,0,1451,-337.1,0,1.1,23.2
BKE,"The Buckle, Inc.",19.45,0.051,957,10.1,0.521,0.8,5.8
BKH,Black Hills Corp.,76.85,0.026,4693,20.3,0.524,0.2,20.4
BL,"BlackLine, Inc.",48.62,0,2690,-102.4,0,1.4,
BLBD,Blue Bird Corp.,19.34,0,512,18.8,0,0.8,15.1
BLD,TopBuild Corp.,95.12,0,3261,19.1,0,0.9,14.2
BLDR,"Builders FirstSource, Inc.",20.26,0,2341,10.2,0,1.1,9.1
BLFS,"BioLife Solutions, Inc.",20.74,0,417,115.7,0,1.4,112.2
BLKB,"Blackbaud, Inc.",91.11,0.005,4480,162.8,0.858,1.4,100.5
BLMN,"Bloomin' Brands, Inc.",19.83,0.019,1722,16.7,0.32,0.7,17
BLX,Banco Latinoamericano de Comercio Exterior SA,19.63,0.078,732,33,2.589,0.5,11.3
BMCH,"BMC Stock Holdings, Inc.",25.38,0,1692,14.2,0,0.9,10.3
BMI,"Badger Meter, Inc.",54.57,0.011,1589,43.6,0.479,0.9,24.3
BMRC,Bank of Marin Bancorp,43.65,0.016,596,17.7,0.289,0.7,2.1
BMTC,Bryn Mawr Bank Corp.,36.6,0.027,737,12.3,0.335,0.8,3.4
BNED,"Barnes & Noble Education, Inc.",3.12,0,149,-8.5,0,1.2,7.6
BNFT,"Benefitfocus, Inc.",24.39,0,797,-14.6,0,1.1,
BOCH,Bank of Commerce Holdings,10.95,0.016,199,12.5,0.194,0.6,-5.3
BOLD,"Audentes Therapeutics, Inc.",32.67,0,1485,-8.3,0,1.6,
BOMN,Boston Omaha Corp.,20.28,0,469,-38.6,0,0.7,
BOOM,"DMC Global, Inc.",42.94,0.002,629,12.1,0.023,1.1,8.8
BOOT,"Boot Barn Holdings, Inc.",36.07,0,1027,24.3,0,1.7,14.7
BOX,"Box, Inc.",17.55,0,2594,-19.1,0,1.6,
BPFH,"Boston Private Financial Holdings, Inc.",11.86,0.04,995,10.7,0.433,0.9,4.6
BPMC,Blueprint Medicines Corp.,80.9,0,3973,-10.8,0,1.8,
BPRN,The Bank of Princeton,29.4,0.003,195,18.6,0.057,0.4,2.1
BRC,Brady Corp.,53.66,0.016,2844,21.5,0.341,0.8,13.8
BREW,"Craft Brew Alliance, Inc.",8.26,0,161,-30.7,0,0.9,
BRG,"Bluerock Residential Growth REIT, Inc.",11.98,0.054,286,-5.9,-0.321,0.4,61.4
BRID,Bridgford Foods Corp.,34.9,0,317,43.6,0,0,35.9
BRKL,"Brookline Bancorp, Inc.",14.78,0.028,1180,13.7,0.389,0.8,7
BRKS,"Brooks Automation, Inc.",39.4,0.01,2846,79.4,0.806,1.8,95
BRT,BRT Apartments Corp.,14.31,0.056,227,-13.4,-0.749,0.5,31.8
BRY,Berry Petroleum Corp.,10.25,0.044,830,11.7,0.513,1.4,4.2
BSET,"Bassett Furniture Industries, Inc.",15.19,0.033,158,27.1,0.892,0.9,8.5
BSGM,"BioSig Technologies, Inc.",8.27,0,186,-6.5,0,0.3,
BSIG,"BrightSphere Investment Group, Inc.",10.24,0.039,929,6.5,0.255,1,7.2
BSRR,Sierra Bancorp,26.66,0.026,409,12.5,0.318,0.8,-4
BSTC,Biospecifics Technologies Corp.,57.75,0,423,19.1,0,0.8,12.2
BSVN,Bank7 Corp.,18.52,0,189,7.6,0,0.7,0.7
BTAI,"BioXcel Therapeutics, Inc.",10.67,0,168,-6,0,1.3,
BTU,Peabody Energy Corp.,15.5,0.034,1606,3.6,0.122,1,3.7
BUSE,First Busey Corp.,25.81,0.032,1430,13,0.414,0.8,-3.3
BV,"BrightView Holdings, Inc.",18.81,0,1972,243.7,0,1.3,37.1
BWB,"Bridgewater Bancshares, Inc.",12.14,0,350,12.4,0,0.6,3.2
BWFG,"Bankwell Financial Group, Inc.",28.53,0.018,224,11.9,0.209,0.5,4.1
BXC,"BlueLinx Holdings, Inc.",30.56,0,286,-10.7,0,1.4,48.4
BXG,Bluegreen Vacations Corp.,9.68,0.066,721,16.3,1.08,1.3,11
BXMT,"Blackstone Mortgage Trust, Inc.",36.47,0.068,4898,14.7,0.998,0.4,20.6
BXS,BancorpSouth Bank,29.41,0.023,3034,13.4,0.31,0.9,-1.5
BY,"Byline Bancorp, Inc.",18.4,0,701,11.8,0,0.8,1.1
BYD,Boyd Gaming Corp.,25.86,0.01,2874,22.8,0.221,1.7,15.2
BYSI,"BeyondSpring, Inc.",17.73,0,460,-7.1,0,0.3,
BZH,"Beazer Homes USA, Inc.",13.9,0,430,-17.6,0,1.2,
CAC,Camden National Corp. (Maine),44.58,0.027,687,12.5,0.337,0.8,-2.8
CADE,Cadence Bancorporation,17.75,0.037,2285,10,0.367,1.2,-0.3
CAI,"CAI International, Inc.",22.58,0,393,7,0,1,16.7
CAKE,"Cheesecake Factory, Inc.",40.03,0.033,1787,16.7,0.549,0.5,12.6
CAL,"Caleres, Inc.",21.63,0.013,881,-65.6,-0.85,1,11.7
CALA,"Calithera Biosciences, Inc.",3.88,0,152,-1.7,0,1.2,
CALM,"Cal-Maine Foods, Inc.",44.09,0.019,2147,39.2,0.762,0.5,23.3
CALX,"Calix, Inc.",6.18,0,343,-17.1,0,1.1,
CAMP,CalAmp Corp.,11.05,0,372,326,0,1.4,19.2
CAR,"Avis Budget Group, Inc.",29.34,0,2229,11.8,0,1.6,21.1
CARA,"CARA Therapeutics, Inc.",22.16,0,1032,-10.2,0,1.5,
CARB,"Carbonite, Inc.",15.81,0,548,-68.8,0,1.1,331.1
CARE,Carter Bank & Trust,19.46,0,512,45.6,0,0.3,-7.8
CARG,"Cargurus, Inc.",33.14,0,3698,84.7,0,1.3,120.6
CARO,Carolina Financial Corp.,36.26,0.009,808,13.5,0.115,0.8,-0.5
CARS,"Cars.com, Inc.",9.46,0,631,67.9,0,1.4,18.9
CASA,"Casa Systems, Inc.",7.49,0,629,32.5,0,1.1,17.8
CASH,"Meta Financial Group, Inc.",34.17,0.006,1294,15.5,0.091,0.7,3.4
CASI,"CASI Pharmaceuticals, Inc.",3.35,0,321,-7.5,0,1.3,
CASS,"Cass Information Systems, Inc.",56.4,0.017,817,26.9,0.454,0.7,5.3
CATC,Cambridge Bancorp,75.86,0.027,368,14.2,0.379,0.4,6.6
CATM,Cardtronics plc,30.14,0,1365,79.7,0,1.4,32.8
CATO,The Cato Corp.,16.85,0.078,417,12.3,0.961,0.6,4.5
CATS,"Catasys, Inc.",17.69,0,293,-20.1,0,0.9,
CATY,Cathay General Bancorp,35.18,0.033,2808,10.4,0.345,0.9,2.6
CBAN,"Colony Bankcorp, Inc.",16.25,0.015,154,13.1,0.202,0,-10.7
CBAY,"CymaBay Therapeutics, Inc.",5.63,0,387,-4.1,0,1.6,
CBB,"Cincinnati Bell, Inc.",5.82,0,293,-3.2,0,1.4,35.3
CBL,"CBL & Associates Properties, Inc.",1.2,0,240,-1.2,0,1.2,48.4
CBLK,"Carbon Black, Inc. (Massachusetts)",25.94,0,1926,-25.7,0,1.1,
CBM,Cambrex Corp.,59.66,0,2010,37.1,0,0.9,25.3
CBMG,"Cellular Biomedicine Group, Inc.",14.34,0,276,-6.1,0,1.5,
CBNK,"Capital Bancorp, Inc. (Maryland)",14.14,0,194,13.3,0,0.2,2.7
CBPX,"Continental Building Products, Inc.",27.24,0,945,14.5,0,1,10.4
CBRL,"Cracker Barrel Old Country Store, Inc.",166.12,0.03,3995,17.9,0.543,0.3,14.5
