Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
TBK,"Triumph Bancorp, Inc.",32.27,0.0,846,15.7,0.0,1.0,5.3
TBNK,"Territorial Bancorp, Inc.",29.41,0.03,284,12.9,0.387,0.4,8.2
TCI,"Transcontinental Realty Investors, Inc.",32.13,0.0,280,1.7,0.0,0.7,3.1
TCMD,"Tactile Systems Technology, Inc.",49.39,0.0,937,110.1,0.0,1.1,182.4
TCX,"Tucows, Inc.",55.21,0.0,589,38.6,0.0,0.8,21.7
TEX,Terex Corp.,27.39,0.015,1950,527.7,8.092,1.5,10.0
TG,Tredegar Corp.,18.68,0.024,623,23.7,0.557,1.2,14.8
TGH,Textainer Group Holdings Ltd.,10.29,0.0,591,18.7,0.0,1.1,21.1
TGNA,"TEGNA, Inc.",15.12,0.019,3276,7.9,0.147,1.1,8.7
THR,"Thermon Group Holdings, Inc.",22.95,0.0,751,35.3,0.0,1.1,19.4
THRM,"Gentherm, Inc.",41.09,0.0,1355,59.7,0.0,1.1,25.0
TILE,"Interface, Inc.",13.33,0.02,779,15.5,0.302,1.1,16.1
TITN,"Titan Machinery, Inc.",14.69,0.0,328,23.8,0.0,1.5,26.5
TLYS,"Tilly's, Inc.",9.93,0.0,294,12.2,0.0,1.1,5.8
TMHC,Taylor Morrison Home Corp.,25.12,0.0,2645,11.7,0.0,0.7,12.3
TMP,Tompkins Financial Corp.,82.62,0.024,1247,15.8,0.377,0.7,5.0
TNC,Tennant Co.,71.0,0.012,1293,34.1,0.418,1.1,23.6
TNET,"TriNet Group, Inc.",65.45,0.0,4577,24.3,0.0,1.4,17.3
TOWN,TowneBank,27.89,0.024,2010,14.3,0.338,0.9,1.6
TOWR,"Tower International, Inc.",30.95,0.016,640,64.1,1.056,0.9,10.4
TPB,"Turning Point Brands, Inc.",24.99,0.006999999999999999,491,14.9,0.105,0.9,14.7
TPH,"TRI Pointe Group, Inc.",14.87,0.0,2115,11.3,0.0,0.7,13.5
TR,"Tootsie Roll Industries, Inc.",36.48,0.01,2391,40.9,0.395,0.3,18.6
TREX,"Trex Co., Inc.",87.33,0.0,5102,42.0,0.0,1.4,30.7
TRMK,Trustmark Corp.,34.13,0.027000000000000003,2198,15.2,0.409,0.8,0.6
TRNO,Terreno Realty Corp.,51.27,0.019,3360,53.1,0.995,0.5,48.1
TRS,TriMas Corp.,30.88,0.0,1397,17.5,0.0,0.9,13.9
TRST,TrustCo Bank Corp. NY,8.26,0.033,800,13.2,0.436,0.7,2.1
TRTN,Triton International Ltd.,34.46,0.06,2546,7.9,0.476,1.1,13.1
TRTX,"TPG RE Finance Trust, Inc.",20.42,0.084,1513,12.1,1.02,0.4,10.8
TSC,"TriState Capital Holdings, Inc.",21.32,0.0,625,10.6,0.0,0.9,1.6
TSE,Trinseo SA,43.97,0.036000000000000004,1768,4.3,0.158,2.0,20.2
TTEC,"TTEC Holdings, Inc.",49.59,0.012,2305,40.6,0.474,1.1,20.6
TTEK,"Tetra Tech, Inc.",84.38,0.006,4611,26.4,0.16,1.1,22.1
TTGT,"TechTarget, Inc.",24.72,0.0,684,49.5,0.0,1.2,34.9
TTMI,"TTM Technologies, Inc.",12.29,0.0,1297,16.0,0.0,1.3,16.7
TUP,Tupperware Brands Corp.,15.68,0.121,765,5.8,0.7,0.7,5.0
TVTY,"Tivity Health, Inc.",17.22,0.0,824,9.5,0.0,0.8,13.9
TWNK,"Hostess Brands, Inc.",14.05,0.0,1831,27.1,0.0,0.4,23.2
TXRH,"Texas Roadhouse, Inc.",51.54,0.021,3586,23.8,0.509,0.6,18.8
TYPE,"Monotype Imaging Holdings, Inc.",19.79,0.023,831,31.8,0.747,0.7,19.2
UBA,"Urstadt Biddle Properties, Inc.",23.64,0.046,942,37.7,1.744,0.6,25.9
UBNK,"United Financial Bancorp, Inc.",13.86,0.035,705,18.6,0.644,0.8,2.9
UBSI,"United Bankshares, Inc. (West Virginia)",38.39,0.035,3911,15.2,0.54,0.9,3.8
UCFC,United Community Financial Corp.,10.91,0.026,525,14.1,0.361,0.7,4.7
UE,Urban Edge Properties,19.43,0.045,2354,27.4,1.239,0.7,21.3
UFCS,"United Fire Group, Inc.",46.26,0.027000000000000003,1168,52.7,1.4369999999999998,0.3,46.9
UFI,"Unifi, Inc.",22.11,0.0,409,165.5,0.0,0.9,29.2
UFPI,"Universal Forest Products, Inc.",39.59,0.01,2430,15.1,0.145,1.1,11.2
UFPT,"UFP Technologies, Inc.",39.5,0.0,293,17.3,0.0,0.7,13.7
UIS,Unisys Corp.,7.8,0.0,487,10.6,0.0,1.3,3.5
ULH,"Universal Logistics Holdings, Inc.",24.47,0.017,668,11.3,0.194,1.2,9.5
UNIT,"Uniti Group, Inc.",7.95,0.16399999999999998,1535,27.1,4.437,1.2,15.2
USCR,"U.S. Concrete, Inc.",46.83,0.0,780,49.5,0.0,1.3,18.7
USLM,"United States Lime & Minerals, Inc.",77.66,0.006999999999999999,436,21.8,0.152,0.3,15.1
USNA,"USANA Health Sciences, Inc.",68.83,0.0,1532,15.0,0.0,0.6,7.8
UTL,UNITIL Corp.,62.4,0.024,931,21.0,0.494,0.3,16.2
UTMD,"Utah Medical Products, Inc.",97.76,0.011,364,21.7,0.243,0.6,18.5
